,Country,CountryCode,Kind,etag,CategoryID,ChannelID,VideoCategory,Assignable
22,France,FR,youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/u8WXzF4HIhtEi805__sqjuA4lEk""",36,UCBR8-60-B28hp2BmDPdntcQ,Drama,False
23,France,FR,youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/D04PP4Gr7wc4IV_O9G66Z4A8KWQ""",37,UCBR8-60-B28hp2BmDPdntcQ,Family,False
24,France,FR,youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/i5-_AceGXQCEEMWU0V8CcQm_vLQ""",38,UCBR8-60-B28hp2BmDPdntcQ,Foreign,False
25,France,FR,youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/rtlxd0zOixA9QHdIZB26-St5qgQ""",39,UCBR8-60-B28hp2BmDPdntcQ,Horror,False
26,France,FR,youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/N1TrDFLRppxZgBowCJfJCvh0Dpg""",40,UCBR8-60-B28hp2BmDPdntcQ,Sci-Fi/Fantasy,False
27,France,FR,youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/7UMGi6zRySqXopr_rv4sZq6Za2E""",41,UCBR8-60-B28hp2BmDPdntcQ,Thriller,False
28,France,FR,youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/RScXhi324h8usyIetreAVb-uKeM""",42,UCBR8-60-B28hp2BmDPdntcQ,Shorts,False
29,France,FR,youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/0n9MJVCDLpA8q7aiGVrFsuFsd0A""",43,UCBR8-60-B28hp2BmDPdntcQ,Shows,False
30,France,FR,youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/x5NxSf5fz8hn4loSN4rvhwzD_pY""",44,UCBR8-60-B28hp2BmDPdntcQ,Trailers,False
0,Great Britain,GB,youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/Xy1mB4_yLrHy_BmKmPBggty2mZQ""",1,UCBR8-60-B28hp2BmDPdntcQ,Film & Animation,True
1,Great Britain,GB,youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/UZ1oLIIz2dxIhO45ZTFR3a3NyTA""",2,UCBR8-60-B28hp2BmDPdntcQ,Autos & Vehicles,True
2,Great Britain,GB,youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/nqRIq97-xe5XRZTxbknKFVe5Lmg""",10,UCBR8-60-B28hp2BmDPdntcQ,Music,True
3,Great Britain,GB,youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/HwXKamM1Q20q9BN-oBJavSGkfDI""",15,UCBR8-60-B28hp2BmDPdntcQ,Pets & Animals,True
4,Great Britain,GB,youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/9GQMSRjrZdHeb1OEM1XVQ9zbGec""",17,UCBR8-60-B28hp2BmDPdntcQ,Sports,True
5,Great Britain,GB,youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/FJwVpGCVZ1yiJrqZbpqe68Sy_OE""",18,UCBR8-60-B28hp2BmDPdntcQ,Short Movies,False
